,token,Counts
0,world,19
1,action,19
2,survival,14
3,free,13
4,explore,12
5,experience,12
6,survive,12
7,battle,12
8,shooter,10
9,multiplayer,10
10,team,9
11,space,9
12,life,8
13,war,8
14,fight,8
15,based,8
16,friends,8
17,city,7
18,dark,7
19,build,7
20,horror,7
21,weapons,7
22,mysterious,7
23,online,7
24,epic,6
25,adventure,6
26,heroes,6
27,op,6
28,rpg,6
29,combat,6
30,driven,5
31,welcome,5
32,award,5
33,ultimate,5
34,classic,5
35,discover,5
36,acclaimed,5
37,enemy,5
38,escape,5
39,fantasy,5
40,winning,5
41,kill,5
42,latest,5
43,mode,4
44,takes,4
45,sandbox,4
46,unique,4
47,updates,4
48,high,4
49,maps,4
